5: VIP
16: l
16: le
16: lehavin
16: lihyot
16: lish
16: livchor
16: lo
16: ma
16: machshavah
16: madhim
16: me
16: misgeret
16: mitmoded
16: moshe
16: nir
16: o
16: ol
16: omr
16: ose
16: ot
16: otah
16: oto
16: rambam
16: rasha
16: sekhel
16: she
16: sheha
16: shekol
16: shelanu
16: shleimut
16: sitra
16: sk
16: sod
16: teshuvah
16: torah
16: tzaddik
16: u
16: ve
16: yachid
16: yachol
16: yecholot
16: yeravam
16: yesh
16: yesodei
16: yiheye
16: yihyeh
16: yodea
16: yoter
16: zeh
16: zman
17: Azivat
17: Charatah
17: Kabala
17: Vidui
17: achar
17: ad
17: adam
17: ah
17: al
17: am
17: ambam
17: amitit
17: arbaah
17: asitem
17: atid
17: avodot
17: ba
17: baruch
17: be
17: bein
17: chamishit
17: charatah
17: chata
17: chataim
17: chaver
17: chavero
17: chayav
17: chazarah
17: chet
17: chiyuvit
17: chova
17: delet
17: eina
17: eino
17: elamet
17: emet
17: et
17: gadol
17: ha
17: hachra
17: hagdarah
17: hi
17: hitkashrut
17: hoda
17: hu
17: kadosh
17: katan
17: khol
17: kol
17: kolshelet
17: l
17: lama
17: le
17: lefares
17: lehabia
17: lehachlit
17: lehitkayem
17: leshalem
17: lev
17: levakesh
17: lo
17: mafsikim
17: maspeket
17: mechil
17: mechilah
17: meduyeket
17: merimim
17: mi
17: mitzva
17: mosif
17: ne
17: nisayon
17: nitpasti
17: o
17: opsionali
17: ot
17: otem
17: oto
17: ozvim
17: pa
17: peh
17: posel
17: rak
17: rambam
17: reshona
17: she
17: sheha
17: shel
17: shinnui
17: shuv
17: somech
17: tachlit
17: techazru
17: techila
17: teshuvah
17: torah
17: tov
17: tzarich
17: tzrich
17: u
17: vayikra
17: ve
17: vidui
18: ad
18: adam
18: adeh
18: adim
18: al
18: alav
18: ambam
18: amim
18: anashim
18: asitem
18: aval
18: ba
18: baruch
18: be
18: bein
18: bizayon
18: bma
18: chachamim
18: chataim
18: chavalah
18: chaver
18: chavero
18: chayavim
18: chet
18: einam
18: eino
18: ela
18: elav
18: emet
18: et
18: gezel
18: ha
18: hara
18: havdah
18: holechim
18: hu
18: im
18: kadosh
18: kaparah
18: kippur
18: kippurim
18: kol
18: kritit
18: la
18: lama
18: lashon
18: le
18: lehashiv
18: lehit
18: lemechol
18: lisloach
18: lo
18: makom
18: me
18: mechaper
18: mechilah
18: mefaspesim
18: meshaleach
18: misarev
18: mishna
18: mishnah
18: mitnadim
18: modeim
18: mutlak
18: nezek
18: nidrei
18: nifga
18: o
18: od
18: ot
18: pe
18: rak
18: rov
18: shalosh
18: shamayim
18: she
18: sheyiratzeh
18: shum
18: tefillah
18: teshuvah
18: tzad
18: tzarich
18: tzom
18: u
18: yachol
18: yekablu
18: yom
18: yoma
18: zeh
19: AV
19: EM
19: KIBBUD
19: LO
19: MORA
19: VA
19: a
19: ah
19: al
19: ambam
19: aseh
19: avicha
19: aviv
19: azor
19: bahem
19: be
19: bein
19: ben
19: bi
19: chayav
19: ein
19: el
19: et
19: gamrei
19: ha
19: hevdel
19: hitlabtutam
19: horim
19: im
19: imecha
19: imo
19: ish
19: kabed
19: kavod
19: ke
19: kesef
19: kibbud
19: kiso
19: korim
19: l
19: la
19: lahem
19: le
19: lehachnis
19: lehachpia
19: lehashkot
19: lehipa
19: lelabesh
19: lelave
19: lo
19: ma
19: machim
19: madhim
19: mamrim
19: melech
19: mi
19: mitzvot
19: mkomam
19: mora
19: nifradot
19: omdim
19: osim
19: ot
19: otam
19: prati
19: pratiyim
19: rambam
19: she
19: shem
19: shemot
19: shoneh
19: shtei
19: tira
19: tokhen
19: tzrachim
19: u
19: vayikra
19: ve
19: vi
19: yechol
19: yesh
19: yetzi
19: yirah
19: yoshvim
20: achiv
20: ah
20: al
20: ambam
20: at
20: bava
20: be
20: bediyuk
20: chachamim
20: chofshi
20: davar
20: el
20: erech
20: et
20: ezor
20: ha
20: hona
20: hu
20: im
20: ish
20: iska
20: iskei
20: isur
20: kashe
20: ki
20: kol
20: konim
20: kovea
20: l
20: lehashig
20: lehipa
20: madhir
20: makhrim
20: mamon
20: mati
20: me
20: mechir
20: mechirah
20: metzia
20: mi
20: mocher
20: neged
20: nichnas
20: o
20: ona
20: ot
20: she
20: shishit
20: shuk
20: tachat
20: tonu
20: torah
20: u
20: ud
20: vayikra
20: ve
20: veha
20: velo
20: yechola
20: yoter
20: ze
20: zo
21: achir
21: achor
21: ad
21: alav
21: ambam
21: aruch
21: be
21: boker
21: chamur
21: chiyuvit
21: choshen
21: devarim
21: ed
21: el
21: ever
21: ha
21: isur
21: itcha
21: kama
21: la
21: le
21: leha
21: lihyot
21: lo
21: me
21: mishpat
21: mitzva
21: mo
21: ot
21: pe
21: po
21: psukim
21: sachar
21: sacharo
21: sachir
21: sechirut
21: shalem
21: shemesh
21: shnei
21: talin
21: tavo
21: titen
21: tokef
21: tzarim
21: u
21: ulat
21: ulchan
21: vayikra
21: ve
21: yachol
21: yomo
21: zman
21: zmanim
22: ah
22: al
22: ambam
22: aruch
22: asur
22: be
22: bein
22: bli
22: chachamim
22: chozek
22: deah
22: devarim
22: et
22: gam
22: ha
22: halachi
22: halva
22: heter
22: hirchivu
22: ikkarim
22: iska
22: isur
22: kesefcha
22: ketzah
22: kshurim
22: le
22: legal
22: leshalem
22: levirot
22: lo
22: loveh
22: machzir
22: malveh
22: marbit
22: matanot
22: mezuman
22: mi
22: min
22: mutar
22: neshech
22: nochri
22: o
22: ochlecha
22: ot
22: rak
22: ribbit
22: she
22: sherutim
22: shnei
22: shutafut
22: taqin
22: tashlum
22: titen
22: torah
22: tovot
22: u
22: ulchan
22: vayikra
22: ve
22: yehudi
22: yehudim
22: yoreh
23: BEITECHA
23: IRECHA
23: KERUVIM
23: SHELACHEM
23: acheret
23: acherot
23: adifuyot
23: ambam
23: aniyei
23: aniyim
23: aniyut
23: aratzot
23: aruch
23: atzmo
23: ba
23: bachem
23: barur
23: ben
23: besisiim
23: chiyuv
23: deah
23: ein
23: eretz
23: et
23: ha
23: horim
23: ir
23: ircha
23: karovim
23: kerovim
23: kodem
23: kovea
23: la
23: le
23: lehachnis
23: matanot
23: mekabel
23: mi
23: ot
23: rachokim
23: seder
23: shulchan
23: teluyim
23: torah
23: tzarachim
23: tzedakah
23: u
23: ulchan
23: yeladim
23: yesh
23: yisrael
23: yoreh
23: zug
24: adifa
24: ah
24: ambam
24: anashim
24: aniyim
24: anonymity
24: ba
24: be
24: eich
24: elyon
24: et
24: gam
24: ha
24: heitev
24: hizdamnut
24: im
24: ke
24: ken
24: kutz
24: le
24: lefi
24: madregot
24: makirim
24: matanot
24: maximize
24: mefursamot
24: mi
24: needy
24: noten
24: notnim
24: o
24: od
24: ot
24: rabot
24: she
24: shmoneh
24: simchah
24: tachton
24: tzedakah
24: u
24: ve
24: yesh
24: zeh
